user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
M1_25.1.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.8%)
M1_25.10.filtered	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	42.83	11	0.78508	N/A
M1_25.100.filtered	d__Bacteria;p__KSB1;c__UBA2214;o__AABM5-25-91;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__KSB1;c__UBA2214;o__AABM5-25-91;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	51.97	11	0.69024	N/A
M1_25.101.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.5%)
M1_25.102.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA2200;f__UBA2200;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA2200;f__UBA2200;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	58.3	11	0.77254	N/A
M1_25.104.filtered	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__UBA5760;s__	N/A	N/A	N/A	N/A	N/A	GCA_002418895.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__UBA5760;s__UBA5760 sp002418895	83.4	0.483	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__UBA5760;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_015222205.1, s__UBA5760 sp015222205, 95.0, 78.61, 0.238; GCA_011176655.1, s__UBA5760 sp011176655, 95.0, 77.95, 0.168; GCA_018399795.1, s__UBA5760 sp018399795, 95.0, 76.98, 0.161; GCA_016931015.1, s__UBA5760 sp016931015, 95.0, 76.64, 0.168	24.03	11	0.9487	N/A
M1_25.105.filtered	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Filomicrobium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Filomicrobium;s__	ANI	classification based on placement in class-level tree	GCA_018819265.1, s__Filomicrobium sp018819265, 95.0, 77.51, 0.223; GCA_001516065.1, s__Filomicrobium sp001516065, 95.0, 77.47, 0.208; GCA_018830445.1, s__Filomicrobium sp018830445, 95.0, 77.38, 0.201; GCA_017792465.1, s__Filomicrobium sp017792465, 95.0, 77.32, 0.191; GCF_900104305.1, s__Filomicrobium insigne, 95.0, 76.63, 0.069	90.07	11	0.96946	N/A
M1_25.106.filtered	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_A;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	62.61	11	0.9309	N/A
M1_25.107.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.2%)
M1_25.108.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
