genome	user_genome	Domain	Phylum	Class	Order	Family	Genus	Species	length	filtered_reads_1	filtered_reads_3	filtered_reads_5	filtered_reads_7	filtered_reads_10	filtered_reads_25	ra_1	ra_3	ra_5	ra_7	ra_10	ra_25
M1_3.101.filtered.fa	M1_3.101.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Woeseiales	f__Woeseiaceae	g__JAACFB01	s__	1294923.0	1795	11213.0	6325.0	4929.0	9817.0	102.0	0.0013861828077808488	0.008659202130165269	0.0048844603115397595	0.0038064039328979406	0.0075811457515234494	7.876916233629335e-05
M1_3.105.filtered.fa	M1_3.105.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Woeseiales	f__Woeseiaceae	g__UBA1847	s__	6982641.0	29033	153906.0	93834.0	118166.0	159472.0	382.0	0.0041578823828978175	0.022041230531542434	0.013438181914264245	0.016922823327162315	0.022838350131418758	5.470709435011767e-05
M1_3.108.filtered.fa	M1_3.108.filtered	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__JAGTVG01	s__	2956183.0	12417	31421.0	16845.0	11436.0	12116.0	399.0	0.004200348895856583	0.010628908968084858	0.005698226395321264	0.0038685020514629847	0.004098528406394327	0.00013497134649647873
M1_3.109.filtered.fa	M1_3.109.filtered	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5704	f__UBA5704	g__M0029	s__	4615607.0	281569	262037.0	115962.0	125754.0	68059.0	1220.0	0.06100367730614847	0.05677194787164505	0.02512388944726013	0.027245387226425475	0.014745406183845376	0.0002643205974858778
M1_3.11.filtered.fa	M1_3.11.filtered	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__SMWR01	g__	s__	4300692.0	9333	44611.0	13121.0	16238.0	10043.0	1221.0	0.00217011587902598	0.010372981836411443	0.003050904366088062	0.003775671450082917	0.00233520559017014	0.00028390779902397103
M1_3.110.filtered.fa	M1_3.110.filtered	d__Bacteria	p__Desulfobacterota	c__DSWW01	o__DSWW01	f__DSWW01	g__S015-6	s__	536570.0	9542	6626.0	1854.0	2130.0	851.0	285.0	0.01778332743164918	0.012348808170415788	0.0034552807648582664	0.0039696591311478464	0.0015859999627262054	0.0005311515738859794
M1_3.111.filtered.fa	M1_3.111.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__HTCC2089	g__	s__	727237.0	3566	8084.0	3637.0	5524.0	2949.0	29.0	0.004903490883989676	0.011116046075763471	0.005001120680053407	0.007595873147268359	0.004055074205520346	3.9876958955608696e-05
M1_3.112.filtered.fa	M1_3.112.filtered	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__JAGTVG01	s__	4494172.0	19594	56397.0	25065.0	47422.0	19828.0	793.0	0.004359868736666064	0.01254891891098071	0.005577223123636567	0.010551888089730434	0.004411936169777214	0.00017645074554333923
M1_3.113.filtered.fa	M1_3.113.filtered	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Woeseiales	f__Woeseiaceae	g__SZUA-117	s__	6878664.0	28315	175240.0	100136.0	86320.0	116006.0	350.0	0.004116351663637009	0.025475877292450978	0.01455747802189495	0.01254894845859603	0.016864612081648415	5.0881973592546456e-05
M1_3.115.filtered.fa	M1_3.115.filtered	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__SG8-38	g__SG8-38	s__	4660270.0	85695	300506.0	140351.0	278053.0	105779.0	994.0	0.018388419555090154	0.06448252998216841	0.03011649539618949	0.05966456879107863	0.022698041100622925	0.0002132923628888455
